start,end,Form 2: This form is regarding water quality and solid waste,Section 1: General information and safety ,safety,team_code,rhs_lhs,location,lat,long,Section 2. The next set of questions will be related to water quality  and stormwater connections. ,inlets,inlets_pic,,unauthorised_inlets,unauthorised_inlets_pic,_1,observations, water_stagnant,water_contamination,water_colour,water_turbidity,water_smell,water_pic,_2,Section 3. Next set of questions are about solid waste and clean up efforts.,sw_inside,sw_inside_type,_3,sw_inside_source,sw_inside_pic,_4,sw_outside,sw_outside_type,sw_outside_source,sw_outside_pic,_5,sw_clean_up,community_engagement,community_engagement_pic,_6,outdated,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,outdated_1,_tags,meta/rootUuid,_index,_index_f1,_drain,_drain_secondary,_team_name
2026-01-10T12:00:42.635+05:30,2026-01-10T12:05:01.597+05:30,,,"Yes, I feel safe to conduct the audit",A1,Right hand side (RHS),12.9785884 77.6273426 819.2999877929688 5.0,12.9785884,77.6273426,,no,,,yes,1768026732641.jpg,,,flowing,Continuous Flow,Greenish,Transparent,Less Odor  I Am Able To Stand Near The S,1768026831976.jpg,,,Yes,Mixed,Mixed,Mostly construction and some household ,1768026891091.jpg,,Yes,Household  Mostly,Household and construction ,1768026929353.jpg,,no,Not Applicable,,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/645858357/attachments/attJE7xLSxASw26ybC775DGk/,645873041,4ad8563b-519a-46e4-bf6c-8c93d443f539,2026-01-10T06:35:16,yes,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/645858357/attachments/attF5no2UN3Cm3wJfQKABrzy/,,uuid:4ad8563b-519a-46e4-bf6c-8c93d443f539,22,16,C100,,Mod Foundation
2026-01-10T11:02:00.363+05:30,2026-01-10T11:13:22.591+05:30,,,"Yes, I feel safe to conduct the audit",A1,Left hand side (LHS),12.9776844 77.6212643 823.8999633789062 4.715,12.9776844,77.6212643,,no,,,yes,1767680911822.jpg,,,flowing,Black Or Grey Water,Greenish,Opaque,No Odor,1767680978778.jpg,,,Yes,Household  Mostly,Household  Mostly,,1767681022975.jpg,,No,No Waste,,,,yes,Outdoor Gym,1767681087951.jpg,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/645870370/attachments/attTbEx9pTGyJtXtaLcd2J6f/,643413880,0a86d26d-a25a-4c7b-8e21-51ac1550f382,2026-01-10T06:49:32,yes,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/645870370/attachments/attAMNoQpYZVEL2z3C9LDf4u/,,uuid:0a86d26d-a25a-4c7b-8e21-51ac1550f382,2,18,C100,,Mod Foundation
2026-01-10T11:21:01.212+05:30,2026-01-10T11:31:42.416+05:30,,,"Yes, I feel safe to conduct the audit",A1,Left hand side (LHS),12.978397 77.6228839 822.2000122070312 4.199,12.978397,77.6228839,,no,,,yes,1768024420218.jpg,,"Stagnent water in few places,marshy growth, household waste dumping,birds ",flowing,Black Or Grey Water,Milky,Cloudy,Strong Smell Of Sewage  Unable To Sand N,1768024478990.jpg,,,Yes,Household  Mostly,Household  Mostly,"Household kitchen,pooja waste,plastic school bags , plastic sack ",1768024538232.jpg,,Yes,Commercial  Mostly,"Old used ladder, furniture waste,old unused cart, abandoned bike",1768024618318.jpg,,no,Idols,1768024651099.jpg,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/646336322/attachments/attXuPP6WMH7PkPkFzzoimeb/,645856888,39e191da-8322-4ef2-9637-7f0c52e9ee82,2026-01-11T02:42:41,yes,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/646336322/attachments/attKKHmQKes3hQpfqXd282U5/,,uuid:39e191da-8322-4ef2-9637-7f0c52e9ee82,14,20,C100,,Mod Foundation
2026-01-10T11:43:53.052+05:30,2026-01-10T11:54:11.698+05:30,,,"Yes, I feel safe to conduct the audit",A1,Left hand side (LHS),12.9786549 77.6246981 821.5999755859375 4.877,12.9786549,77.6246981,,no,,,yes,1768025845218.jpg,,There is a parallel drain next to the SWD with stagnant water,flowing,Black Or Grey Water,Other Colour,Cloudy,No Odor,1768025953216.jpg,,,Yes,Construction Debris,Construction Debris,Illegal dumping ,1768025992388.jpg,,Yes,Construction Debris,Illegal dumping ,1768026045153.jpg,,no,Not Applicable,,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/646336368/attachments/attKypmiyXi5V273jr8MTwR6/,645846975,2a427e4e-22f5-49b1-9061-2f78b1a39fb0,2026-01-11T02:42:53,yes,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/646336368/attachments/attcCQSnFaAshg8fG5gubrrM/,,uuid:2a427e4e-22f5-49b1-9061-2f78b1a39fb0,10,22,C100,,Mod Foundation
2026-01-31T10:54:02.289+05:30,2026-01-31T11:01:42.935+05:30,,,"Yes, I feel safe to conduct the audit",A6,Left hand side (LHS),12.9151767 77.6437667 811.2999877929688 4.073,12.9151767,77.6437667,,no,,,no,,,,cannot_see,Cannot See,Cannot Say,Cannot Say,Less Odor  I Am Able To Stand Near The S,,,,Cannot See,,,,,,No,Mixed,"Leaves, construction",1769837566088.jpg,,no,Not Applicable,,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660485844/attachments/attt9r8AXZSPnBNQBX9prmsF/,660486394,62400590-be52-4560-bbd8-b5e93e117aee,2026-01-31T05:33:06,,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660485844/attachments/attmQbqaXBCFLGYpx4CnfnP7/,,uuid:62400590-be52-4560-bbd8-b5e93e117aee,23,23,K200,,Mod Foundation
2026-01-31T11:08:26.785+05:30,2026-01-31T11:17:20.259+05:30,,,"Yes, I feel safe to conduct the audit",A6,Left hand side (LHS),12.9154552 77.6421208 810.5 4.945,12.9154552,77.6421208,,yes,1769837993388.jpg,,cannot_see,,,Inlet going across street to the drain,flowing,Cannot See,Black,Cloudy,Less Odor  I Am Able To Stand Near The S,,,,Cannot See,Mixed,Mixed,,1769838286209.jpg,,Yes,Mixed,,1769838314676.jpg,,no,Plants,1769838347055.jpg,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660492136/attachments/att72CNj72KVZBk2nqFjVaos/,660491476,b2aea53a-effa-4902-b2f0-b3b31728297c,2026-01-31T05:47:39,,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660492136/attachments/attXAhYCySdutZhfGU6randZ/,,uuid:b2aea53a-effa-4902-b2f0-b3b31728297c,25,24,K200,,Mod Foundation
2026-01-31T11:10:57.321+05:30,2026-01-31T11:17:34.793+05:30,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.9153765 77.643749 811.0 4.169,12.9153765,77.643749,,yes,1769838098857.jpg,,no,,,The inlet in previous section is proof of flooding in the area and informal solution to stop flooding,flowing,Black Or Grey Water,Black,Opaque,Less Odor  I Am Able To Stand Near The S,1769838278403.jpg,,,Yes,Mixed,Mixed,Individual throwing of trash,1769838369840.jpg,,Yes,Construction Debris,Desilted waste pile up next to the SWD,1769838427332.jpg,,yes,Not Applicable,,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660499263/attachments/attkc9M2KtCei2NGnTEFTb6H/,660597622,2665756c-eb0d-4b48-9cde-028912d0d65b,2026-01-31T06:05:13,,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660499263/attachments/att9R28acpN2wYuV8kVfPrud/,,uuid:2665756c-eb0d-4b48-9cde-028912d0d65b,39,25,K200,,Mod Foundation
2026-01-31T11:27:41.525+05:30,2026-01-31T11:34:56.518+05:30,,,"Yes, I feel safe to conduct the audit",A4,Right hand side (RHS),12.9156787 77.6416106 810.7999877929688 13.7,12.9156787,77.6416106,,yes,1769839168969.jpg,,no,,,Wall broken for desilting,flowing,Black Or Grey Water,Black,Opaque,Strong Smell Of Sewage  Unable To Sand N,1769839300851.jpg,,,Yes,Household  Mostly,Household  Mostly,Household,1769839340427.jpg,,Yes,Mixed,Waste collection point ,1769839378860.jpg,,yes,Not Applicable,,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660499531/attachments/attyDE4knmZxEJEERKJ3aG9L/,660597819,583dcb3a-7c61-4fa2-a3e4-47141406d580,2026-01-31T06:05:43,,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660499531/attachments/attvnegeE8tFsQhg8XyZVHrR/,,uuid:583dcb3a-7c61-4fa2-a3e4-47141406d580,40,26,K200,,Mod Foundation
2026-01-31T11:50:20.040+05:30,2026-01-31T11:54:53.943+05:30,,,"Yes, I feel safe to conduct the audit",A6,Right hand side (RHS),12.9156954 77.6367255 810.7000122070312 4.639,12.9156954,77.6367255,,no,,,yes,1769840657024.jpg,,Can't see the inlets or other connections since we are on the opposite side. The water is opaque and flowing. There is both wet and dry waste dumped into it. But there is also a trash boom and a couple of people were clearing the waste out,flowing,Solid Particles Or Oily Film On Water,Greenish,Opaque,Strong Smell Of Sewage  Unable To Sand N,1769840833510.jpg,,,Yes,Mixed,Mixed,Mixed and dumped ,1769840922368.jpg,,Yes,Mixed,Mixed ,1769840976972.jpg,,yes,Plants,1769841019524.jpg,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660509344/attachments/attcXaVPSPRCURjqRUhK6nPY/,660530310,1bed0831-11f1-457b-817d-ed9e8f2fafa7,2026-01-31T06:25:13,,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660509344/attachments/attY6Zw8NfrY6PiPbA2rsNZk/,,uuid:1bed0831-11f1-457b-817d-ed9e8f2fafa7,36,27,K200,,Mod Foundation
2026-01-31T10:51:12.091+05:30,2026-01-31T10:58:00.803+05:30,,,"Yes, I feel safe to conduct the audit",A5,Right hand side (RHS),12.9152146 77.6444054 812.2000122070312 4.612,12.9152146,77.6444054,,no,,,no,,,None,flowing,Solid Particles Or Oily Film On Water,Greenish,Cloudy,No Odor,1769837351770.jpg,,,Yes,Household  Mostly,Household  Mostly,"Households, shops",1769837450204.jpg,,Yes,Household  Mostly,"Households, shops",1769837502982.jpg,,no,Not Applicable,,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660519027/attachments/attLLH8ngW8EtvhAh3qH5E3a/,660519033,463f61ad-36e0-4e5d-a6a4-75e1381e1249,2026-01-31T06:44:28,,,submitted_via_web,,https://kf.kobotoolbox.org/api/v2/assets/aLP6mR6GUPYRbYEjUKj73j/data/660519027/attachments/attQ4VsNYk5fTEcDkmDn3LuL/,,uuid:463f61ad-36e0-4e5d-a6a4-75e1381e1249,28,28,K200,,Mod Foundation
